date,value,transactions,type
"2020-01-01",21.5,"Foreign_transactions",3
"2020-01-02",14.2,"Foreign_transactions",3
"2020-01-03",28.1,"Foreign_transactions",3
"2020-01-04",25.5,"Foreign_transactions",3
"2020-01-05",3,"Foreign_transactions",3
"2020-01-06",27.9,"Foreign_transactions",3
"2020-01-07",11.8,"Foreign_transactions",3
"2020-01-08",14.5,"Foreign_transactions",3
"2020-01-09",11.7,"Foreign_transactions",3
"2020-01-10",12,"Foreign_transactions",3
"2020-01-11",13,"Foreign_transactions",3
"2020-01-12",2.2,"Foreign_transactions",3
"2020-01-13",22.6,"Foreign_transactions",3
"2020-01-14",13.2,"Foreign_transactions",3
"2020-01-15",9,"Foreign_transactions",3
"2020-01-16",9.3,"Foreign_transactions",3
"2020-01-17",9.6,"Foreign_transactions",3
"2020-01-18",11.3,"Foreign_transactions",3
"2020-01-19",1.9,"Foreign_transactions",3
"2020-01-20",21.5,"Foreign_transactions",3
"2020-01-21",11.6,"Foreign_transactions",3
"2020-01-22",8.9,"Foreign_transactions",3
"2020-01-23",8.6,"Foreign_transactions",3
"2020-01-24",9.6,"Foreign_transactions",3
"2020-01-25",14,"Foreign_transactions",3
"2020-01-26",2.8,"Foreign_transactions",3
"2020-01-27",27.7,"Foreign_transactions",3
"2020-01-28",14.8,"Foreign_transactions",3
"2020-01-29",11.2,"Foreign_transactions",3
"2020-01-30",10.9,"Foreign_transactions",3
"2020-01-31",11.3,"Foreign_transactions",3
"2020-02-01",14.6,"Foreign_transactions",3
"2020-02-02",2.7,"Foreign_transactions",3
"2020-02-03",27,"Foreign_transactions",3
"2020-02-04",14.3,"Foreign_transactions",3
"2020-02-05",11.6,"Foreign_transactions",3
"2020-02-06",11,"Foreign_transactions",3
"2020-02-07",11.2,"Foreign_transactions",3
"2020-02-08",14.7,"Foreign_transactions",3
"2020-02-09",2.6,"Foreign_transactions",3
"2020-02-10",23.2,"Foreign_transactions",3
"2020-02-11",13.6,"Foreign_transactions",3
"2020-02-12",14.6,"Foreign_transactions",3
"2020-02-13",10.8,"Foreign_transactions",3
"2020-02-14",11.1,"Foreign_transactions",3
"2020-02-15",14.9,"Foreign_transactions",3
"2020-02-16",2.4,"Foreign_transactions",3
"2020-02-17",24.8,"Foreign_transactions",3
"2020-02-18",13.8,"Foreign_transactions",3
"2020-02-19",10.5,"Foreign_transactions",3
"2020-02-20",9.8,"Foreign_transactions",3
"2020-02-21",10.3,"Foreign_transactions",3
"2020-02-22",13.9,"Foreign_transactions",3
"2020-02-23",2.2,"Foreign_transactions",3
"2020-02-24",22.2,"Foreign_transactions",3
"2020-02-25",13.3,"Foreign_transactions",3
"2020-02-26",12.6,"Foreign_transactions",3
"2020-02-27",12.1,"Foreign_transactions",3
"2020-02-28",12.2,"Foreign_transactions",3
"2020-02-29",14.8,"Foreign_transactions",3
"2020-03-01",2.7,"Foreign_transactions",3
"2020-03-02",25.3,"Foreign_transactions",3
"2020-03-03",15.1,"Foreign_transactions",3
"2020-03-04",10.7,"Foreign_transactions",3
"2020-03-05",10.3,"Foreign_transactions",3
"2020-03-06",10.5,"Foreign_transactions",3
"2020-03-07",12.9,"Foreign_transactions",3
"2020-03-08",2.2,"Foreign_transactions",3
"2020-03-09",22.4,"Foreign_transactions",3
"2020-03-10",12.6,"Foreign_transactions",3
"2020-03-11",8.7,"Foreign_transactions",3
"2020-03-12",8.8,"Foreign_transactions",3
"2020-03-13",9.5,"Foreign_transactions",3
"2020-03-14",12.5,"Foreign_transactions",3
"2020-03-15",1.6,"Foreign_transactions",3
"2020-03-16",15,"Foreign_transactions",3
"2020-03-17",7.7,"Foreign_transactions",3
"2020-03-18",5.7,"Foreign_transactions",3
"2020-03-19",3.6,"Foreign_transactions",3
"2020-03-20",3.3,"Foreign_transactions",3
"2020-03-21",3.3,"Foreign_transactions",3
"2020-03-22",.3,"Foreign_transactions",3
"2020-03-23",3.1,"Foreign_transactions",3
"2020-03-24",3.5,"Foreign_transactions",3
"2020-03-25",2.7,"Foreign_transactions",3
"2020-03-26",3.7,"Foreign_transactions",3
"2020-03-27",3.5,"Foreign_transactions",3
"2020-03-28",3.7,"Foreign_transactions",3
"2020-03-29",.4,"Foreign_transactions",3
"2020-03-30",3.3,"Foreign_transactions",3
"2020-03-31",3.5,"Foreign_transactions",3
"2020-04-01",3.3,"Foreign_transactions",3
"2020-04-02",3.8,"Foreign_transactions",3
"2020-04-03",3.7,"Foreign_transactions",3
"2020-04-04",3.7,"Foreign_transactions",3
"2020-04-05",.4,"Foreign_transactions",3
"2020-04-06",3.7,"Foreign_transactions",3
"2020-04-07",4.1,"Foreign_transactions",3
"2020-04-08",4.2,"Foreign_transactions",3
"2020-04-09",3.8,"Foreign_transactions",3
"2020-04-10",3.8,"Foreign_transactions",3
"2020-04-11",2.6,"Foreign_transactions",3
"2020-04-12",.4,"Foreign_transactions",3
"2020-04-13",2.6,"Foreign_transactions",3
"2020-04-14",1.8,"Foreign_transactions",3
"2020-01-01",31.7,"Cash_withdrawals",1
"2020-01-02",76.9,"Cash_withdrawals",1
"2020-01-03",139.8,"Cash_withdrawals",1
"2020-01-04",92.2,"Cash_withdrawals",1
"2020-01-05",40.6,"Cash_withdrawals",1
"2020-01-06",114.9,"Cash_withdrawals",1
"2020-01-07",114.3,"Cash_withdrawals",1
"2020-01-08",106.4,"Cash_withdrawals",1
"2020-01-09",103.7,"Cash_withdrawals",1
"2020-01-10",121.6,"Cash_withdrawals",1
"2020-01-11",96.5,"Cash_withdrawals",1
"2020-01-12",36.6,"Cash_withdrawals",1
"2020-01-13",84.1,"Cash_withdrawals",1
"2020-01-14",81.3,"Cash_withdrawals",1
"2020-01-15",84.4,"Cash_withdrawals",1
"2020-01-16",86.4,"Cash_withdrawals",1
"2020-01-17",103.1,"Cash_withdrawals",1
"2020-01-18",93,"Cash_withdrawals",1
"2020-01-19",33.5,"Cash_withdrawals",1
"2020-01-20",77.9,"Cash_withdrawals",1
"2020-01-21",77.5,"Cash_withdrawals",1
"2020-01-22",81.4,"Cash_withdrawals",1
"2020-01-23",90,"Cash_withdrawals",1
"2020-01-24",200.5,"Cash_withdrawals",1
"2020-01-25",149.2,"Cash_withdrawals",1
"2020-01-26",55.5,"Cash_withdrawals",1
"2020-01-27",164.7,"Cash_withdrawals",1
"2020-01-28",136,"Cash_withdrawals",1
"2020-01-29",136.5,"Cash_withdrawals",1
"2020-01-30",139.8,"Cash_withdrawals",1
"2020-01-31",170.1,"Cash_withdrawals",1
"2020-02-01",142,"Cash_withdrawals",1
"2020-02-02",48.1,"Cash_withdrawals",1
"2020-02-03",136.3,"Cash_withdrawals",1
"2020-02-04",125.4,"Cash_withdrawals",1
"2020-02-05",133.9,"Cash_withdrawals",1
"2020-02-06",128.9,"Cash_withdrawals",1
"2020-02-07",148.1,"Cash_withdrawals",1
"2020-02-08",113,"Cash_withdrawals",1
"2020-02-09",42.2,"Cash_withdrawals",1
"2020-02-10",91.5,"Cash_withdrawals",1
"2020-02-11",90.7,"Cash_withdrawals",1
"2020-02-12",93.4,"Cash_withdrawals",1
"2020-02-13",92.5,"Cash_withdrawals",1
"2020-02-14",121,"Cash_withdrawals",1
"2020-02-15",102.7,"Cash_withdrawals",1
"2020-02-16",39.1,"Cash_withdrawals",1
"2020-02-17",78.2,"Cash_withdrawals",1
"2020-02-18",84,"Cash_withdrawals",1
"2020-02-19",86.4,"Cash_withdrawals",1
"2020-02-20",98.3,"Cash_withdrawals",1
"2020-02-21",119.4,"Cash_withdrawals",1
"2020-02-22",103.1,"Cash_withdrawals",1
"2020-02-23",41.3,"Cash_withdrawals",1
"2020-02-24",105.8,"Cash_withdrawals",1
"2020-02-25",200.2,"Cash_withdrawals",1
"2020-02-26",163.3,"Cash_withdrawals",1
"2020-02-27",170.3,"Cash_withdrawals",1
"2020-02-28",212.7,"Cash_withdrawals",1
"2020-02-29",156.1,"Cash_withdrawals",1
"2020-03-01",62.6,"Cash_withdrawals",1
"2020-03-02",159.6,"Cash_withdrawals",1
"2020-03-03",148.9,"Cash_withdrawals",1
"2020-03-04",138.5,"Cash_withdrawals",1
"2020-03-05",126,"Cash_withdrawals",1
"2020-03-06",158.4,"Cash_withdrawals",1
"2020-03-07",119.9,"Cash_withdrawals",1
"2020-03-08",45.2,"Cash_withdrawals",1
"2020-03-09",103.6,"Cash_withdrawals",1
"2020-03-10",96.2,"Cash_withdrawals",1
"2020-03-11",98.6,"Cash_withdrawals",1
"2020-03-12",101.8,"Cash_withdrawals",1
"2020-03-13",131.1,"Cash_withdrawals",1
"2020-03-14",97.3,"Cash_withdrawals",1
"2020-03-15",38.8,"Cash_withdrawals",1
"2020-03-16",117.6,"Cash_withdrawals",1
"2020-03-17",68.5,"Cash_withdrawals",1
"2020-03-18",61.2,"Cash_withdrawals",1
"2020-03-19",61.4,"Cash_withdrawals",1
"2020-03-20",80.2,"Cash_withdrawals",1
"2020-03-21",42.2,"Cash_withdrawals",1
"2020-03-22",18.9,"Cash_withdrawals",1
"2020-03-23",56.1,"Cash_withdrawals",1
"2020-03-24",63.9,"Cash_withdrawals",1
"2020-03-25",152.2,"Cash_withdrawals",1
"2020-03-26",124.5,"Cash_withdrawals",1
"2020-03-27",134.3,"Cash_withdrawals",1
"2020-03-28",78.7,"Cash_withdrawals",1
"2020-03-29",29.9,"Cash_withdrawals",1
"2020-03-30",111.1,"Cash_withdrawals",1
"2020-03-31",107.3,"Cash_withdrawals",1
"2020-04-01",108.3,"Cash_withdrawals",1
"2020-04-02",96.6,"Cash_withdrawals",1
"2020-04-03",104.7,"Cash_withdrawals",1
"2020-04-04",61.7,"Cash_withdrawals",1
"2020-04-05",24.5,"Cash_withdrawals",1
"2020-04-06",96.3,"Cash_withdrawals",1
"2020-04-07",85.9,"Cash_withdrawals",1
"2020-04-08",77.2,"Cash_withdrawals",1
"2020-04-09",76.2,"Cash_withdrawals",1
"2020-04-10",27.8,"Cash_withdrawals",1
"2020-04-11",48.2,"Cash_withdrawals",1
"2020-04-12",14.6,"Cash_withdrawals",1
"2020-04-13",21,"Cash_withdrawals",1
"2020-04-14",65.6,"Cash_withdrawals",1
"2020-01-01",39.6,"PoS_payments",2
"2020-01-02",77,"PoS_payments",2
"2020-01-03",131.3,"PoS_payments",2
"2020-01-04",139.5,"PoS_payments",2
"2020-01-05",26,"PoS_payments",2
"2020-01-06",107.3,"PoS_payments",2
"2020-01-07",96.3,"PoS_payments",2
"2020-01-08",99.6,"PoS_payments",2
"2020-01-09",99.6,"PoS_payments",2
"2020-01-10",123.4,"PoS_payments",2
"2020-01-11",153.2,"PoS_payments",2
"2020-01-12",28,"PoS_payments",2
"2020-01-13",104.5,"PoS_payments",2
"2020-01-14",90.3,"PoS_payments",2
"2020-01-15",94.4,"PoS_payments",2
"2020-01-16",96.1,"PoS_payments",2
"2020-01-17",117.1,"PoS_payments",2
"2020-01-18",148.6,"PoS_payments",2
"2020-01-19",27.5,"PoS_payments",2
"2020-01-20",102.9,"PoS_payments",2
"2020-01-21",86.2,"PoS_payments",2
"2020-01-22",91.1,"PoS_payments",2
"2020-01-23",94.3,"PoS_payments",2
"2020-01-24",131,"PoS_payments",2
"2020-01-25",167.6,"PoS_payments",2
"2020-01-26",31.7,"PoS_payments",2
"2020-01-27",117.9,"PoS_payments",2
"2020-01-28",95.8,"PoS_payments",2
"2020-01-29",101,"PoS_payments",2
"2020-01-30",104.8,"PoS_payments",2
"2020-01-31",129.5,"PoS_payments",2
"2020-02-01",164.7,"PoS_payments",2
"2020-02-02",29.5,"PoS_payments",2
"2020-02-03",112.7,"PoS_payments",2
"2020-02-04",91.8,"PoS_payments",2
"2020-02-05",99.7,"PoS_payments",2
"2020-02-06",101.9,"PoS_payments",2
"2020-02-07",123,"PoS_payments",2
"2020-02-08",151.7,"PoS_payments",2
"2020-02-09",31,"PoS_payments",2
"2020-02-10",105.6,"PoS_payments",2
"2020-02-11",90.6,"PoS_payments",2
"2020-02-12",96.3,"PoS_payments",2
"2020-02-13",98.9,"PoS_payments",2
"2020-02-14",128.8,"PoS_payments",2
"2020-02-15",148,"PoS_payments",2
"2020-02-16",30.2,"PoS_payments",2
"2020-02-17",105.9,"PoS_payments",2
"2020-02-18",88.2,"PoS_payments",2
"2020-02-19",92.2,"PoS_payments",2
"2020-02-20",90.8,"PoS_payments",2
"2020-02-21",115.7,"PoS_payments",2
"2020-02-22",140.9,"PoS_payments",2
"2020-02-23",27.2,"PoS_payments",2
"2020-02-24",106.1,"PoS_payments",2
"2020-02-25",105.6,"PoS_payments",2
"2020-02-26",111.4,"PoS_payments",2
"2020-02-27",118.9,"PoS_payments",2
"2020-02-28",147.4,"PoS_payments",2
"2020-02-29",173.5,"PoS_payments",2
"2020-03-01",30,"PoS_payments",2
"2020-03-02",117.6,"PoS_payments",2
"2020-03-03",97.3,"PoS_payments",2
"2020-03-04",100.5,"PoS_payments",2
"2020-03-05",102,"PoS_payments",2
"2020-03-06",129.5,"PoS_payments",2
"2020-03-07",162.9,"PoS_payments",2
"2020-03-08",29.4,"PoS_payments",2
"2020-03-09",111.7,"PoS_payments",2
"2020-03-10",94.5,"PoS_payments",2
"2020-03-11",99.9,"PoS_payments",2
"2020-03-12",111.7,"PoS_payments",2
"2020-03-13",171,"PoS_payments",2
"2020-03-14",170.9,"PoS_payments",2
"2020-03-15",20.5,"PoS_payments",2
"2020-03-16",160.8,"PoS_payments",2
"2020-03-17",78,"PoS_payments",2
"2020-03-18",71.8,"PoS_payments",2
"2020-03-19",75,"PoS_payments",2
"2020-03-20",103.4,"PoS_payments",2
"2020-03-21",75.9,"PoS_payments",2
"2020-03-22",8.9,"PoS_payments",2
"2020-03-23",63.8,"PoS_payments",2
"2020-03-24",61.2,"PoS_payments",2
"2020-03-25",69.8,"PoS_payments",2
"2020-03-26",74.3,"PoS_payments",2
"2020-03-27",97.1,"PoS_payments",2
"2020-03-28",91.7,"PoS_payments",2
"2020-03-29",10,"PoS_payments",2
"2020-03-30",71.3,"PoS_payments",2
"2020-03-31",71.6,"PoS_payments",2
"2020-04-01",73,"PoS_payments",2
"2020-04-02",77.9,"PoS_payments",2
"2020-04-03",104.9,"PoS_payments",2
"2020-04-04",99.9,"PoS_payments",2
"2020-04-05",12.6,"PoS_payments",2
"2020-04-06",81.4,"PoS_payments",2
"2020-04-07",89,"PoS_payments",2
"2020-04-08",110.8,"PoS_payments",2
"2020-04-09",125.4,"PoS_payments",2
"2020-04-10",32.1,"PoS_payments",2
"2020-04-11",109,"PoS_payments",2
"2020-04-12",12.2,"PoS_payments",2
"2020-04-13",25.6,"PoS_payments",2
"2020-04-14",78.4,"PoS_payments",2
